parent_asin,product_title,main_category,average_rating,rating_number
B019NHE4YI,TAMEHOM Case Logic Ultra Compact Camera Case for Canon PowerShot ELPH 350 Hs with Storage,All Electronics,3.7,15
B00EW38CY2,"[CORNER PROTECTION] CaseCrown Bold Standby Pro Case (Red) for 2013 All-New Amazon Kindle Fire HDX 8.9 Inch Tablet (NOT for 2012 Kindle Fire HD 8.9) with Sleep / Wake, Hand Grip, & Multi-Angle Viewing Stand",Computers,3.5,29
B00NFDZS10,Samsung NX EV-NX1ZZZBQBUS 28 MP Wireless Smart Compact System Camera (Black),Camera & Photo,3.1,29
B004JSP8A6,Fujifilm FinePix XP20 Green 14 MP Digital Camera with 5x Optical Zoom and 2.7-Inch LCD,Camera & Photo,3.6,64
B00IA7C76K,ePhoto 600 LED Photo Studio Panel Video Light Panel Camera Studio Lighting FST600S New,Camera & Photo,3.7,32
B06Y13GHLG,MyVolts 9V Power Supply Adaptor Compatible with/Replacement for Line 6 POD HD500X Multi-Effects - US Plug,Tools & Home Improvement,3.3,16
B00091U9YW,Bose 141 Pair Fullrange Bookshelf Speakers,All Electronics,4.0,47
B0BD47KKXK,"WAVLINK Thunderbolt 3 Dock - Dual Monitors 4K@60Hz/FHD@144Hz & Single 8K@30Hz and 60W Host Charging for Thunderbolt 3/4, USB-C Windows/Mac (Thunderbolt 3 Port, 2X DP1.4, 3xUSB 10Gbps, 2xUSB3.0, LAN)",All Electronics,3.9,157
B003E1WIPW,46 Inch - Tft Active Matrix - 1920 X 1080 - 16:9 - Black - 1 Year Parts and Labo,All Electronics,3.3,30
B075C98QRV,"Cattail TV Wall Mount Bracket W/ Full Motion Swing Out Tilt For 17 23 27 30 32 39 40 42 43 45 48 49 50 55 Inch LED LCD OLED Plasma Flat Screen Display Monitor Up To 110 Lbs VESA 400 mm, W/ HDMI Cable",Home Audio & Theater,3.9,32
B0109Z635G,"HAOCOO Ultra Slim Leather Smart Case Cover Build in Magnetic [Auto Sleep/Wake] Function for All-New Kindle Paperwhite 2012, 2013, 2015 Versions (Not fit All-New Paperwhite 10th Generation)(Green)",Computers,3.8,30
B07L5F2PMB,Yihou Women Fashion Bluetooth Smart Bracelet Fitness Tracker Waterproof Heart Rate Blood Pressure Smart Watch for Android iOS,All Electronics,3.2,86
B00XILTK0O,Precision Power i520.4 520-Watt 4-Channel iON Series Class D Full-Range Digital Stereo Bridgeable Amplifier,Car Electronics,4.2,33
B00SB4B330,"Lenovo Z70 17.3 Inch Laptop (Intel Core i7, 16 GB, 1TB HDD, Black)",Computers,4.1,383
B00W8FN03Y,"Canon EOS Rebel T7i 24.2 MP DSLR Camera, 18-55mm f/3.5-5.6 STM Lens, RitzGear HD .43x Wide Angle & 2.2X Telephoto Lenses, 48 GB SDHC Memory + 48"" Tripod, 58mm Filter Kit, Bag and Accessory Bundle",Camera & Photo,4.6,452
B00VQO5SY2,My Little Pony HP2-06057-KHL Kid Safe Bluetooth Headphones,Home Audio & Theater,3.4,33
B07R564H89,"Famavala Silicone Case Cover Compatible with All-New Fire 7 Tablet [9th Generation, 2019 Release] (BabyPink)",Computers,4.7,1387
B00P7T48U2,"Nest Cam & Dropcam Pro Outdoor Gooseneck Mounting Arm in White - Compatible with Outdoor Camera Enclosures by Dropcases - 360 Degrees Angle Positioning, Weatherproof Protected. NO CASE INCLUDED",Camera & Photo,3.3,36
B00YBCL35Y,Allstate 4-Year Auto Accessories Protection Plan ($350-399.99),Camera & Photo,3.9,127
B07YVHNVLC,"ZRHEART True Wireless Earbuds Bluetooth 5.0 HiFi Stereo Bluetooth Earphone Wireless Mic Bluetooth Earbud Binaural Calls, Waterproof Bluetooth Headphones with Charging Case",All Electronics,3.9,217
B07DGWK8JD,"EACHSHOT 4-Ring V2 Cold Shoe Adapter Ring Zhiyun Smooth 4 Applied to Rode Microphone LED Video Light Filmmaker Vlog, Microphone Mount Designed Smooth4 Rosette Mount [Updated Version]",Camera & Photo,4.5,207
B07N63H7RH,WONDERBOOM Waterproof Bluetooth Speaker - Concrete (Renewed),Home Audio & Theater,4.7,139
B0B5WD1LVH,"Kureex Light Bulb Camera, 3.0MP Wireless 2.4 GHz WiFi Security Camera, Tuya App, 360° PTZ Night Vision, Human Motion Detection & Alarm",Camera & Photo,3.6,115
B00X2JN8T6,i-UniK Samsung Galaxy TAB A 8.0 inch Compatible SM-T350 case Slim Folio Case w/Auto Sleep Awake [Bonus Stylus] (Cute Pink),Computers,4.4,263
B0BHQ3NSQ3,"Wireless Keyboard and Mouse,J JOYACCESS 2.4G Ergonomic and Slim Wireless Computer Keyboard Mouse Designed for Windows, PC, Laptop,Tablet - Black Grey",All Electronics,4.2,21208
B07MV115BF,Bluetooth Module Adapter AUX Audio Cable Compatible with Porsche Becker CD Host,All Electronics,3.1,25
B07RXWZ27S,ROKINON 45mm F1.8 Full Frame Auto Focus Compact Lens for Sony E-Mount,Camera & Photo,4.4,53
