parent_asin,product_title,strategy,sentiment,review_count,combined_reviews,summary,generation_status,generation_error
B08YGKCHNF,"Echo Show 8 (2nd Gen, 2021 release) - Glacier White - with 30-day FREE trial of Alexa Together (monthly auto-renewal)",combined,all,4,"NEGATIVE REVIEWS
Review 1
Rating: 1/5
Title: Big Disappointment- Gen 2 Echo8 is a Nightmare!
Text: This was purchased to replace an Echo 5 that I loved, but had been bricked after the latest over -the- air update from Amazon. It was ruined by the update and never recovered. This one is not anything like my original. There is a giant digital clock that I cannot change… the old echo five had a setting for this- the background adjustment control has also disappeared! Now it is called clock and photo display- and there is NO setting for background! I already had a photo for my background in my Alexa app and added it to the new Echo 8- but it does not show as a background choice now, just part of a rotating photo display, which in my case I do not want. I am unable to get the background to stay on instead it disappears and the only thing showing is the giant clock numbers which I do NOT want to see! I tried every setting but as I said the settings in new version removed any background and clock setting as was available in the old Alexa app and on screen settings. There are constant rotations of things even though I have turned off everything or told this new Echo

NEUTRAL REVIEWS
Review 1
Rating: 3/5
Title: Honestly a bit disappointed. I was expecting more
Text: I sort of purchased this on a whim to see if I could fit it into my life somehow. I found the idea of a smart display intriguing as I already have 2 Fire Cubes and absolutely love them. However a Fire cube this is not. It's difficult to express but this thing is cumbersome to use and it's slow. For example. I was eating dinner and watching a video I purchased on Prime video. I had to pause it to get up and do something so I said ""echo pause"" Wich it did. When I returned the screen had defaulted back to the time home screen. No big deal right? So I said ""echo play"" and instead of resuming my show, it resumed a song I had paused earlier that day. I asked it to stop and then asked for it to play my show. It began to play a different episode and not where I left off. Getting it back to where I left off required more awkward voice control and touching the screen. Very annoying when I'm trying to eat my meal. This device also has trouble understanding my queries. It's getting my words incorrect. One feature I was pleasently surprised by was

POSITIVE REVIEWS
Review 1
Rating: 5/5
Title: A MUST HAVE!
Text: [[VIDEOID:b6537fe65ba9d68258a80970448c9f4a]] Gah! I love how big this screen is!!!! I've been suffering downstairs without an Alexa in my new house and decided decided to Gift myself a housewarming and so glad I did! My son is also loving watching cartoons during breakfast 😏. This speaker is SUPER oud. Definitely all you would need to throw a house party AND have the neighbors knocking 😂. It's chic and pretty!

Review 2
Rating: 5/5
Title: A good system for what it does.
Text: Amazon Echo Show 8 review:<br />Me, it's not what I thought it would be.<br />Also me, it's not a bad device.<br />Also, also me, It's not what you'd think.<br />You can remotely login and watch areas it's in, watch multiple cameras that are connected all over the place, look up content, listen to music (I'm listening to EYE OF THE TIGER) and it pretty much is a KARAOKE system, among other things.<br />In short, it's a smart speaker (yes, a ""SMART SPEAKER""). You can't easily or at all, install third-party applications on it, requires the Alexa App, but if you want to control other Amazon/Alexa devices and such that are compatible, it's not a bad device.<br />I can control my TV (I will not explain that, too much of a","Amazon Echo Show 8 review: ""It's not what I thought it would be"" Reviewer: ""This thing is cumbersome to use and it's slow"" ""I was expecting more""",success,
B08YGKCHNF,"Echo Show 8 (2nd Gen, 2021 release) - Glacier White - with 30-day FREE trial of Alexa Together (monthly auto-renewal)",sentiment_separated,negative,1,"Review 1
Rating: 1/5
Title: Big Disappointment- Gen 2 Echo8 is a Nightmare!
Text: This was purchased to replace an Echo 5 that I loved, but had been bricked after the latest over -the- air update from Amazon. It was ruined by the update and never recovered. This one is not anything like my original. There is a giant digital clock that I cannot change… the old echo five had a setting for this- the background adjustment control has also disappeared! Now it is called clock and photo display- and there is NO setting for background! I already had a photo for my background in my Alexa app and added it to the new Echo 8- but it does not show as a background choice now, just part of a rotating photo display, which in my case I do not want. I am unable to get the background to stay on instead it disappears and the only thing showing is the giant clock numbers which I do NOT want to see! I tried every setting but as I said the settings in new version removed any background and clock setting as was available in the old Alexa app and on screen settings. There are constant rotations of things even though I have turned off everything or told this new Echo to hide them- I just want the screen to show my background photo and the little clock in the top left corner like my old echo5 did. The new one insists on showing me recipes ( I Don’t cook) or a song that I played weeks and weeks ago and don’t want to see or hear about UNTIL I ask the Echo for it. Finally, I had to unplug this thing last night as the screen would not and I repeat, would not ever remove that darn clock! It is pretty big and there is no setting to make it smaller or dimmer- the new low power mode ( which I also do not want) dims the screen, removes my backgound picture ( which I want left up) and lo and behold, what is left glaringly bright on the screen - that digital clock in bright white big numbers! If I wanted a digital clock I would have purchased one. Asking this Echo to do the things I used to ask on my old little show5 is not intuitive at","Review: 1/5. This was purchased to replace an Echo 5 that I loved, but had been bricked after the latest over -the- air update from Amazon. This one is not anything like my original. There is a giant digital clock that I cannot change… the old echo five had a setting for this- the background adjustment control has also disappeared! Now it is called clock and photo display- and there is NO setting for background!",success,
B08YGKCHNF,"Echo Show 8 (2nd Gen, 2021 release) - Glacier White - with 30-day FREE trial of Alexa Together (monthly auto-renewal)",sentiment_separated,neutral,2,"Review 1
Rating: 3/5
Title: Honestly a bit disappointed. I was expecting more
Text: I sort of purchased this on a whim to see if I could fit it into my life somehow. I found the idea of a smart display intriguing as I already have 2 Fire Cubes and absolutely love them. However a Fire cube this is not. It's difficult to express but this thing is cumbersome to use and it's slow. For example. I was eating dinner and watching a video I purchased on Prime video. I had to pause it to get up and do something so I said ""echo pause"" Wich it did. When I returned the screen had defaulted back to the time home screen. No big deal right? So I said ""echo play"" and instead of resuming my show, it resumed a song I had paused earlier that day. I asked it to stop and then asked for it to play my show. It began to play a different episode and not where I left off. Getting it back to where I left off required more awkward voice control and touching the screen. Very annoying when I'm trying to eat my meal. This device also has trouble understanding my queries. It's getting my words incorrect. One feature I was pleasently surprised by was the sound quality. It is very good. The low end is impressive. Almost as good as my Nest Audio. Maybe with some software updates this device Will be good. But for now I'm still trying to understand it's intended flow.

Review 2
Rating: 3/5
Title: Good but can improve a lot
Text: I just received this and was really excited for it. I bought this for my room because my roommate often stays up when he gets home to watch his shows, but I refuse to get a TV for my room. Using the other Alexa parts was just a plus for me, honestly.<br /><br />Positives for me are the sound quality (amazing), voice recognition is better than on my old echo dot, and beautiful display.<br /><br />Things that I hope Amazon listens to and improves…<br />- This is sort of difficult to navigate. I’m really good with technology but oh my god I can’t imagine my mother trying to work this thing. I’m okay with it, but it’s irritatingly annoying to use.<br />- Lots of streaming services are wonky,","Reviewers were disappointed with the device. The sound quality was good, but not as good as my Nest Audio. The device is cumbersome to use and slow.",success,
B08YGKCHNF,"Echo Show 8 (2nd Gen, 2021 release) - Glacier White - with 30-day FREE trial of Alexa Together (monthly auto-renewal)",sentiment_separated,positive,2,"Review 1
Rating: 5/5
Title: A MUST HAVE!
Text: [[VIDEOID:b6537fe65ba9d68258a80970448c9f4a]] Gah! I love how big this screen is!!!! I've been suffering downstairs without an Alexa in my new house and decided decided to Gift myself a housewarming and so glad I did! My son is also loving watching cartoons during breakfast 😏. This speaker is SUPER oud. Definitely all you would need to throw a house party AND have the neighbors knocking 😂. It's chic and pretty!

Review 2
Rating: 5/5
Title: A good system for what it does.
Text: Amazon Echo Show 8 review:<br />Me, it's not what I thought it would be.<br />Also me, it's not a bad device.<br />Also, also me, It's not what you'd think.<br />You can remotely login and watch areas it's in, watch multiple cameras that are connected all over the place, look up content, listen to music (I'm listening to EYE OF THE TIGER) and it pretty much is a KARAOKE system, among other things.<br />In short, it's a smart speaker (yes, a ""SMART SPEAKER""). You can't easily or at all, install third-party applications on it, requires the Alexa App, but if you want to control other Amazon/Alexa devices and such that are compatible, it's not a bad device.<br />I can control my TV (I will not explain that, too much of a pain in the ass), lights, and other items just from it. It's a great ""hub"", or a damn good device. For now, it's on sale, and for AP (""Amazon Prime"") members, there's a discount.<br />For recipes, watching videos, among other things, it's a good device. Would I go against buying it? Depends what you're expecting from it, otherwise, it's not a bad investment -- and a good gift, especially for the elderly that want something simple.<br />I've been using mine for the following:<br /> 1. Tracking weather<br /> 2. Managing devices (near and far)<br /> 3. Monitoring my room when I am not home. (Alexa app required)<br /> 4. Listening to music (The sound is great for those that don't mind the best, or care for the best, etc., and better than low-end IMHO).<br /> 5. Watching movies (Halloween Ends, GOOD!) But I switched to my T V, because I ended up having to lay down.<br /> 6. It DOES NOT COME WITH A BATTERY (extra item sold seprately) and a STAND that is a separate purchase, but does well","The Amazon Echo Show is a smart speaker with a large screen. It can be used to track weather, watch multiple cameras, and listen to music. It requires an Alexa app to be used.",success,
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",combined,all,3,"NEGATIVE REVIEWS
Review 1
Rating: 1/5
Title: Quality is just not there
Text: ***UPDATE*** 6/8/20<br />After posting my original review Anker reached out to me in an effort to make it right and make sure I was satisfied which I appreciated. Most companies wouldn’t even acknowledge a customers dissatisfaction much less try to improve their experience. Their customer service is A+ for sure! They offered to send me an upgraded version of their earbuds to try out the Liberty Air 2. They shipped them out immediately and arrived in just a few days. The difference in the Liberty Air 2 is incredible! I have not lost connection, they sound great for music and phone calls, no one has complained they can’t hear me and they have not fallen out of my ear at all. I am so happy with this set of earbuds that I just purchased a set for my Dad for Father’s Day. If you aren’t happy with the Anker Soundcore Life P2 or any other Bluetooth earbuds you’ve tried I highly recommend you the Liberty Air 2. You will not be disappointed! I have tried $250 earbuds that don’t compare to these.<br /><br />I use earbuds for calls only and really wanted to love these but unfortunately have to return them. I’ve had them for 2 days and they’ve

NEUTRAL REVIEWS
Review 1
Rating: 3/5
Title: LONG TERM REVIEW: The Best Inexpensive Bluetooth Earbuds On Amazon. 4/4/20 (It's okay now..)
Text: First thing first, a huge shout-out to Android Police for making an article that these earbuds were on sale on Amazon. I bought them, and they came in the next day. The sound quality is great, much better than most wireless earbuds on Amazon. It gets pretty loud, the base is on point. It varies on your device's audio DAC. It sounds good on my Nexus 6P, but I'm sure it'll sound better on my OnePlus 7 Pro because it has Dolby ATMOS support on its DAC. The battery life is stellar! The Sound Life P2 can last for a while, around 6-7 hours. I'm not a heavy user, it can last me for days without plugging it in. Speaking of charging! It comes with USB-C, Hooray! Anker hit the grand slam with these. I highly recommend, it's much better than these unknown brands earbuds here on Amazon.<br /><br />The tips on these earbuds are not good, no matter what sizes of the tips are they keep falling out of my ears. They're not loud like they used to, and the battery for these earbuds are okay at best now, it's no longer stellar. Since, now the earbuds starts $60,

POSITIVE REVIEWS
Review 1
Rating: 5/5
Title: Life P2 is C2 for your Ears
Text: While i have had Anker Soundcore LifeP2 for about month, I will only speak to how these earbuds have performed thus far. For the month I have had these, I will say this is the best quality earbuds I have had. If Anker charged me $170 for these buds, I would've shelled out the money regardless. Thats how good a product this is. Again Im not much for the idea of something fitting in your budget, because if its important you'll spend what you think its good for you and you want the buds to perform at its best and purest form for at least beyond the length of its warranty. Anker has always made a sound quality product and have set the price for its products that makes it affordable for most if not all.<br /><br />What i love most about the Life P2 is its versatility. I have used these ear buds to make calls through my Iphone, which i never really did with previous earbuds Ive had because the mic quality on most is garbage, and the ability to hear whoever is on the other line is distant meaning that from an audio perspective the acoustics for voice speaking wasn't adequate and they'd only","Anker's Liberty Air 2 earbuds sound great for music and phone calls. The battery life is stellar, around 6-7 hours. The tips are not good, no matter what sizes of the tips are they keep falling out of my ears. If Anker charged me $170 for these buds, I would've shelled out the money.",success,
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",sentiment_separated,negative,2,"Review 1
Rating: 1/5
Title: Quality is just not there
Text: ***UPDATE*** 6/8/20<br />After posting my original review Anker reached out to me in an effort to make it right and make sure I was satisfied which I appreciated. Most companies wouldn’t even acknowledge a customers dissatisfaction much less try to improve their experience. Their customer service is A+ for sure! They offered to send me an upgraded version of their earbuds to try out the Liberty Air 2. They shipped them out immediately and arrived in just a few days. The difference in the Liberty Air 2 is incredible! I have not lost connection, they sound great for music and phone calls, no one has complained they can’t hear me and they have not fallen out of my ear at all. I am so happy with this set of earbuds that I just purchased a set for my Dad for Father’s Day. If you aren’t happy with the Anker Soundcore Life P2 or any other Bluetooth earbuds you’ve tried I highly recommend you the Liberty Air 2. You will not be disappointed! I have tried $250 earbuds that don’t compare to these.<br /><br />I use earbuds for calls only and really wanted to love these but unfortunately have to return them. I’ve had them for 2 days and they’ve dropped calls 5 times already and after being on a call more than 10 minutes people have trouble hearing me and say the sound is very muffled. Then 2 separate times today in the middle of a call they put out a very high pitched piercing beeping in my ear that made me have to disconnect the call to make it stop. It was actually painful to me ear.<br />They were very easy to set up, stayed in my ears well and the sound was great but they’re unusable because of the dropped calls and people having trouble hearing me.

Review 2
Rating: 1/5
Title: Don’t buy unless you don’t mind them falling out constantly
Text: UPDATE 2: I lost one today when it fell out of my ear into the bushes while doing light yard work. These things suck.<br /><br />UPDATE: I have lowered my review to 1 star after spending a day doing yard work with these things. I had to continually push them back into my ear while working. I completely regret wasting money on these because",Anker's Liberty Air 2 earbuds sound great for music and phone calls. They dropped calls 5 times already and after being on a call more than 10 minutes people have trouble hearing me. They put out a very high pitched piercing beeping in my ear that made me have to disconnect the call.,success,
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",sentiment_separated,neutral,2,"Review 1
Rating: 3/5
Title: LONG TERM REVIEW: The Best Inexpensive Bluetooth Earbuds On Amazon. 4/4/20 (It's okay now..)
Text: First thing first, a huge shout-out to Android Police for making an article that these earbuds were on sale on Amazon. I bought them, and they came in the next day. The sound quality is great, much better than most wireless earbuds on Amazon. It gets pretty loud, the base is on point. It varies on your device's audio DAC. It sounds good on my Nexus 6P, but I'm sure it'll sound better on my OnePlus 7 Pro because it has Dolby ATMOS support on its DAC. The battery life is stellar! The Sound Life P2 can last for a while, around 6-7 hours. I'm not a heavy user, it can last me for days without plugging it in. Speaking of charging! It comes with USB-C, Hooray! Anker hit the grand slam with these. I highly recommend, it's much better than these unknown brands earbuds here on Amazon.<br /><br />The tips on these earbuds are not good, no matter what sizes of the tips are they keep falling out of my ears. They're not loud like they used to, and the battery for these earbuds are okay at best now, it's no longer stellar. Since, now the earbuds starts $60, it's not worth it. Get the newer models because they're much better.

Review 2
Rating: 3/5
Title: Mic sounds far away on Zoom
Text: I primarily bought these headphones for Zoom meetings while working from home. I purchased these because of their claim about silencing background noise and great mic technology. The first time I used them with my MacBook Air for a Zoom meeting everyone could barely hear me. They said it sounded like I was very far away. I tested this on FaceTime as well via my MacBook with the same result. I then synced them to my iPhone11 and made some sample calls. The actual PHONE CALLS were crystal clear. Overall the performance of the headphones seems better through my iPhone than my MacBook. However, the real issue seems to be with video conferencing. I called Anker to discuss this and they explained that they currently do not have a needed license with Zoom and other video conferencing services which could be the cause of this. Additionally, background noise from my kids could still be heard on","The sound quality is great, much better than most wireless earbuds on Amazon. It gets pretty loud, the base is on point. The battery life is stellar! The Sound Life P2 can last for a while, around 6-7 hours. Get the newer models because they're much better.",success,
B08TMJFSV3,"Soundcore Anker Life P2 True Wireless Earbuds, Clear Sound, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",sentiment_separated,positive,1,"Review 1
Rating: 5/5
Title: Life P2 is C2 for your Ears
Text: While i have had Anker Soundcore LifeP2 for about month, I will only speak to how these earbuds have performed thus far. For the month I have had these, I will say this is the best quality earbuds I have had. If Anker charged me $170 for these buds, I would've shelled out the money regardless. Thats how good a product this is. Again Im not much for the idea of something fitting in your budget, because if its important you'll spend what you think its good for you and you want the buds to perform at its best and purest form for at least beyond the length of its warranty. Anker has always made a sound quality product and have set the price for its products that makes it affordable for most if not all.<br /><br />What i love most about the Life P2 is its versatility. I have used these ear buds to make calls through my Iphone, which i never really did with previous earbuds Ive had because the mic quality on most is garbage, and the ability to hear whoever is on the other line is distant meaning that from an audio perspective the acoustics for voice speaking wasn't adequate and they'd only be good for music.<br /><br />The Life P2 is good on all fronts. Crisp sound to hear, and clarity to speak.<br /><br />Ive used the Life P2 for Zoom calls and people have said that my voice is more clear and better than the internal mics that are used the MacBook Airs.<br /><br />The Life P2 is actually a really solid pair of earbuds for physical activity use & workouts. Since COVID-19 Ive done personal workouts with my Trainer using the P2's via Zoom outdoors and have been able to hear and speak with clarity. That says a lot for me because when you're outside ambient noises distort and distract but no issues there. Their noise cancellation isn't stellar but for me i think its more than adequate for myself and does the needful.<br /><br />So i feel like Ive put the Life P2 to the test in accordance to my usage-lifestyle.<br /><br />I will say that the only drawback is the distance. How far away can i move with the earbuds away from my cell before it cuts out.","The Life P2 is good on all fronts. Crisp sound to hear, and clarity to speak. Their noise cancellation isn't stellar but for me i think its more than adequate for myself and does the needful.",success,
B071J3PFJJ,"ProCase iPad Air (3rd Gen) 10.5"" 2019 / iPad Pro 10.5"" 2017 Case, Ultra Slim Lightweight Stand Smart Case Shell with Translucent Frosted Back Cover for Apple iPad Air (3rd Gen) 10.5"" 2019 –Rose Gold",combined,all,6,"NEGATIVE REVIEWS
Review 1
Rating: 1/5
Title: magnet is weak, poor build qualty
Text: Overall, the case looks nice and it reasonably protects an iPad Pro. There are two problem, though. First, the magnet is far too weak to lock the case open or closed. The cover will flop. Second, the build of the cover uses a method where a sturdy core is sandwiched between two soft layers. This creates rough edges, and tends to also result in splitting due to the constant bending the edges receive. While I am fully aware of how cheap this case is, I feel other cheap cases I have tried do not suffer from these problems.<br /><br />Update: 6 months and corners are cracking. Certainly will not last another 6 months.<br /><br />Final Update: After 7 months, the plastic edges around the corners of the case cracked badly in multiple places. Because of this, the case became unusable and needed replaced (with a different brand).

Review 2
Rating: 1/5
Title: Horrible smell l!
Text: This item seemed to be great until I noticed something fishy. When I took this case out of the package it looked awesome. It was the perfect size to my new iPad. After leaving the IPad in my backpack for a few hours I noticed that my backpack smelled like rotten fish.

NEUTRAL REVIEWS
Review 1
Rating: 3/5
Title: Good but not great
Text: This case is really pretty but my only issue with it is that it is too big. The back part fits perfect but the flap is big and doesn't always wake or sleep the device so that's an issue as well. The flap is about 2-3cm bigger than the screen device which some people may or may not like. But it's still a nice case and will continue to use which is why I rated 3 instead of 2. I also thought the back would be rubberized but it's plastic.

Review 2
Rating: 3/5
Title: Corners crack
Text: My initial impression of this iPad case was good. The fit and finish were excellent and the case provided good protection. However, after five months of gentle use at my bedside, with the exception of one month where the case was temporarily replaced with a Logitech keyboard case, the lower corners have cracked and one corner piece has now completely broken away. I expected this case to last for the life of the device it was protecting. I’ll eplace it but not with this product..

Review 3
Rating: 3/5
Title: Just ok actually
Text: Nice but one edge slightly raised, meaning it didn't fit in as snug and smooth as other 4

POSITIVE REVIEWS
Review 1
Rating: 4/5
Title: Cover flips all the way to the back
Text: I need a simple case for my ipad pro. I don't need a i-pencil holder. I need one that has a front cover to protect the screen and be able to flip easily to the back so I can hold it and play games or watch movies. This case fits all my requirements. My ipad pro fits perfectly into the back cover w/o hassle. Alignment of the holes and buttons are spot-on. Weight of cover plus ipad is still acceptable. When arranged to hold the ipad up, the magnets are not too weak and not too strong, just nice. I confirmed the closing of cover puts ipad on standby; lifting it up turns on the screen. But if I turn the ipad upside down, the front cover will drop because the magnet to trigger standby/ON is not designed to be strong enough to hold the weight of itself. If it is that strong, it will take more effort to flip cover open for normal use and this could be irritating. The cover can be easily flipped to the back and still maintains a flatness which for me is a plus. Some other covers material are so stiff that it is difficult to flip cover to the",The magnet is far too weak to lock the case open or closed. The build of the cover uses a method where a sturdy core is sandwiched between two soft layers. The plastic edges around the corners of the case cracked badly in multiple places.,success,
B071J3PFJJ,"ProCase iPad Air (3rd Gen) 10.5"" 2019 / iPad Pro 10.5"" 2017 Case, Ultra Slim Lightweight Stand Smart Case Shell with Translucent Frosted Back Cover for Apple iPad Air (3rd Gen) 10.5"" 2019 –Rose Gold",sentiment_separated,negative,3,"Review 1
Rating: 1/5
Title: magnet is weak, poor build qualty
Text: Overall, the case looks nice and it reasonably protects an iPad Pro. There are two problem, though. First, the magnet is far too weak to lock the case open or closed. The cover will flop. Second, the build of the cover uses a method where a sturdy core is sandwiched between two soft layers. This creates rough edges, and tends to also result in splitting due to the constant bending the edges receive. While I am fully aware of how cheap this case is, I feel other cheap cases I have tried do not suffer from these problems.<br /><br />Update: 6 months and corners are cracking. Certainly will not last another 6 months.<br /><br />Final Update: After 7 months, the plastic edges around the corners of the case cracked badly in multiple places. Because of this, the case became unusable and needed replaced (with a different brand).

Review 2
Rating: 1/5
Title: Horrible smell l!
Text: This item seemed to be great until I noticed something fishy. When I took this case out of the package it looked awesome. It was the perfect size to my new iPad. After leaving the IPad in my backpack for a few hours I noticed that my backpack smelled like rotten fish. I pulled everything out to make sure nothing was inside and I still continued to smell that horrible odor. I then realized that the case itself smelled like rotten fish!!!. I don’t recommend this item at all!!!!

Review 3
Rating: 1/5
Title: Oooh That Smell!
Text: When I was a child, a squirrel crawled into our air conditioning ventilation unit and died. As it decomposed, it began emanating a stinking smell that I noticed in my room from time to time. My father eventually found out what the smell was and cleared out the dead carcass.<br /><br />One day, after using my iPad pro for a while, I went into my postdoc's office and noticed a stinking smell. It reminded me of the dead squirrel from my childhood. I suddenly realized that it was my hand. What the hell? I didn't remember touching anything that stank.<br /><br />Eventually, I realized it was my iPad pro. But after doing some more sniffing, I realized it wasn't the pro itself. It was the inside of the cover. The part that is covered",The magnet is far too weak to lock the case open or closed. The build of the cover uses a method where a sturdy core is sandwiched between two soft layers. The plastic edges around the corners of the case cracked badly in multiple places.,success,
